"x","y","z","color"
67.988,198.648,59.027,5
1.19,66.922,82.795,9
37.399,293.419,85.495,3
100.492,322.19,97.197,2
69.311,446.527,111.323,7
136.702,370.558,71.478,4
53.734,341.559,115.753,2
66.56,227.563,85.871,5
124.25,335.544,35.177,4
83.695,490.516,100.657,6
64.024,202.935,89.322,5
-9.32,99.13,48.619,9
9.919,128.372,23.172,9
125.943,437.658,109.07,7
73.682,337.191,107.91,2
108.68,442.402,115.178,7
107.827,315.577,35.705,8
76.033,302.267,138.678,2
88.781,248.611,115.196,5
54.176,305.138,51.224,3
54.326,331.227,5.768,3
26.102,319.52,-19.993,0
138.038,407.136,101.584,4
88.722,312.852,99.935,2
64.454,297.5,97.909,2
59.311,288.378,116.749,5
96.786,312.194,11.538,8
70.491,384.556,122.202,2
109.695,178.116,47.191,5
127.059,349.597,26.871,4
75.33,226.858,78.692,5
44.701,343.394,6.275,3
65.723,351.584,128.043,2
136.421,408.382,105.528,4
38.871,348.677,106.719,3
21.778,141.933,23.75,9
14.166,432.116,82.243,7
72.538,420.533,129.248,7
146.529,399.422,76.388,4
78.588,196.974,66.479,5
117.101,303.031,-54.007,8
135.653,371.964,37.18,4
36.579,543.337,-109.542,1
47.196,320.431,-60.968,0
101.563,321.422,123.347,2
104.002,268.34,-149.582,0
34.272,504.637,4.273,6
35.823,533.483,-169.054,1
70.872,293.117,94.423,2
66.686,449.163,116.727,7
115.232,501.382,45.888,6
65.55,191.803,49.111,5
118.296,318.013,81.425,4
54.597,306.895,59.612,3
104.188,490.889,41.89,6
139.949,489.268,64.281,6
55.157,307.818,71.269,3
36.673,374.997,120.924,3
49.06,544.886,-152.046,1
119.224,315.378,82.696,4
54.015,547.518,-154.493,1
118.177,310.394,50.709,8
132.308,491.754,54.615,6
43.156,384.15,129.582,2
110.863,487.379,-69.985,1
59.687,437.69,124.203,7
41.479,296.946,77.394,3
40.638,568.833,-142.928,1
59.78,289.636,114.353,5
74.878,279.407,129.345,5
28.091,551.291,-160.705,1
34.352,539.027,-94.469,1
29.882,351.185,86.405,3
109.067,263.868,-149.775,0
50.316,326.991,7.421,3
94.125,321.189,99.325,2
50.767,198.332,113.973,5
164.051,112.458,43.748,10
80.215,440.785,110.668,7
119.246,302.141,69.235,4
65.746,443.47,121.752,7
53.69,182.888,32.878,5
51.418,319.547,-166.041,0
10.592,329.898,95.182,3
70.655,277.948,119.486,5
82.445,214.516,57.962,5
52.652,322.616,-168.787,0
19.427,419.201,105.575,7
105.613,488.786,-140.896,1
141.909,408.718,97.115,4
50.249,312.142,109.562,2
69.758,307.68,110.794,2
68.211,299.924,102.103,2
57.15,250.329,96.987,5
110.427,288.155,-54.063,8
37.533,324.595,-116.29,0
42.906,293.579,113.844,2
67.947,409.893,122.462,7
128.159,70.727,96.087,10
66.415,364.095,124.58,2
142.566,398.131,96.705,4
115.157,326.717,60.973,4
85.673,276.607,107.222,5
83.265,199.777,120.777,5
72.403,419.451,130.146,7
113.437,493.834,42.88,6
132.589,332.911,108.924,4
137.749,368.209,37.596,4
115.275,298.24,71.051,4
94.875,273.025,-144.807,0
58.499,228.675,90.67,5
80.268,430.036,121.11,7
39.676,339.894,-146.601,0
57.891,203.397,99.988,5
145.146,397.686,86.827,4
91.406,309.269,105.224,2
121.564,490.905,-157.485,1
84.639,276.511,-162.816,0
105.589,503.042,-55.361,1
110.032,315.659,98.414,2
123.68,304.106,-64.658,8
71.394,288.096,101.629,5
73.163,440.026,122.301,7
121.267,365.059,109.081,2
66.611,328.937,116.808,2
59.747,212.188,103.559,5
126.309,316.005,77.142,4
80.142,306.725,94.011,2
111.747,457.216,102.559,7
102.031,476.105,-161.677,1
70.525,193.866,111.636,5
25.516,547.502,-163.389,1
40.792,534.39,-164.279,1
100.432,271.219,-137.154,0
119.7,282.202,-52.359,8
71.695,273.593,107.849,5
80.525,336.375,111.313,2
113.425,326.352,72.614,4
-6.571,122.345,34.963,9
117.092,507.877,32.684,6
78.83,531.037,51.542,6
71.721,338.597,155.237,2
106.385,498.841,-86.001,1
47,487.437,64.645,6
90.856,293.337,100.047,2
126.488,149.346,26.771,10
19.22,421.912,103.26,7
73.011,525.717,58.193,6
99.175,250.549,96.794,5
141.296,386.371,80.705,4
111.344,326.486,15.225,8
82.441,213.469,60.453,5
141.673,378.158,48.513,4
84.99,443.255,117.643,7
121.724,434.444,115.444,7
43.567,323.135,-123.787,0
38.022,328.25,70.104,3
88.531,304.505,100.649,2
37.157,331.603,25.1,3
123.285,343.384,29.893,4
84.77,496.409,82.379,6
68.12,456.519,108.237,7
91.993,299.31,20.983,8
10.287,470.017,35.596,6
35.114,346.002,92.546,3
94.587,224.83,116.215,5
104.878,229.315,146.567,5
111.135,497.409,-146.542,1
52.285,339.004,-150.156,0
77.252,223.673,154.099,5
61.665,521.68,37.138,6
75.704,458.651,93.898,7
57.435,325.84,-94.766,0
84.549,273.461,-164.211,0
47.939,206.452,126.207,5
81.304,458.557,108.376,7
29.597,299.409,-4.401,3
87.07,279.069,105.564,5
49.521,551.685,-144.315,1
17.462,138.761,16.892,9
84.963,383.095,124.429,2
137.338,136.964,28.04,10
72.416,489.706,89.045,6
72.557,398.188,132.028,2
33.56,360.663,103.195,3
77.857,451.999,97.95,7
77.796,494.137,86.223,6
108.201,210.358,121.553,5
141.146,377.424,46.776,4
37.761,285.414,90.536,2
67.01,413.447,123.822,7
124.643,311.377,-58.83,8
75.991,390.21,142.556,2
66.001,391.234,126.679,2
27.428,296.95,90.611,2
121.912,484.304,-158.265,1
89.967,268.028,-139.317,0
74.846,182.253,55.925,5
51.611,339.92,-129.443,0
157.738,123.784,22.526,10
142.107,483.418,68.504,6
42.289,319.84,-47.229,0
40.818,304.911,68.884,3
88.684,254.374,116.289,5
125.06,376.583,111.864,2
86.453,277.393,-160.269,0
73.564,478.269,83.722,6
69.838,328.561,110.634,2
99.66,245.781,100.008,5
71.922,341.073,154.143,2
65.892,425.019,128.275,7
124.072,289.918,78.139,4
77.224,423.193,111.062,7
82.29,384.968,130.943,2
88.631,267.193,112.991,5
113.897,466.574,-170.633,1
78.63,285.836,118.189,5
79.345,276.294,28.211,8
72.358,376.863,130.148,2
71.83,330.308,-3.54,8
119.65,503.163,-90.027,1
52.352,410.861,131.607,7
70.428,469.743,107.11,7
97.358,478.362,-165.136,1
16.83,378.054,87.768,3
86.131,447.126,116.822,7
132.941,361.775,36.451,4
70.943,334.566,115.759,2
33.217,335.007,85.804,3
47.588,543.885,-124.88,1
63.504,309.451,105.701,2
76.259,368.249,145.982,2
31.74,350.5,92.788,3
101.538,262.137,-137.082,0
51.272,485.486,72.489,6
57.871,244.877,119.002,5
110.936,301.205,-53.018,8
62.846,327.279,104.286,2
27.331,314.058,-42.976,0
37.208,511.003,10.954,6
119.603,285.92,-58.496,8
45.31,509.806,-70.996,1
108.615,422.427,125.978,7
73.61,355.499,112.38,2
49.576,210.295,112.338,5
40.786,523.868,-60.822,1
82.194,466.231,100.928,6
74.478,550.92,31.741,6
62.654,311.646,103.027,2
147.8,473.218,55.475,6
113.313,246.073,-169.429,0
112.354,489.044,67.685,6
108.512,246.455,116.113,5
105.328,507.708,40.149,6
133.009,67.703,88.002,10
75.57,360.242,139.335,2
36.232,532.294,-89.295,1
70.81,195.424,55.694,5
105.867,312.65,23.451,8
85.124,244.475,159.528,5
71.035,290.133,31.88,8
99.178,503.563,57.119,6
78.546,364.361,156.915,2
60.289,249.103,118.181,5
54.955,495.685,31.929,6
51.408,525.468,-72.563,1
79.704,334.61,109.29,2
90.634,232.006,82.54,5
100.292,413.021,130.514,7
91.442,297.111,101.728,2
42.073,434.313,119.493,7
83.523,378.552,134.046,2
71.73,246.216,139.157,5
42.972,499.89,14.43,6
94.866,303.429,22.839,8
76.826,384.156,132.986,2
110.886,412.554,127.688,7
27.693,502.833,24.121,6
25.951,290.462,53.27,3
141.648,418.826,96.579,4
118.673,328.482,51.383,4
59.432,478.258,102.181,6
74.521,336.083,106.863,2
38.643,563.532,-135.38,1
77.966,463.574,110.568,7
42.652,300.45,48.068,3
70.672,473.814,96.229,6
145.647,426.417,84.602,4
58.809,484.833,70.937,6
77.022,360.585,147.2,2
26.599,312.552,-9.265,3
129.692,66.274,95.413,10
113.133,211.476,122.54,5
14.362,388.334,85.047,3
29.575,351.995,81.373,3
71.283,275.385,114.316,5
114.254,298.921,7.792,8
56.195,212.555,121.597,5
81.239,399.416,130.044,2
47.251,300.448,105.038,2
51.259,532.07,-168.777,1
81.022,285.91,96.507,5
60.611,490.348,74.542,6
134.484,306.987,87.893,4
85.756,294.472,107.811,2
45.93,535.477,-81.204,1
68.571,363.179,125.671,2
81.082,273.51,-162.253,0
79.39,276.893,25.406,8
76.208,452.062,121.22,7
119.478,499.701,-118.469,1
37.95,339.431,-126.158,0
88.171,273.312,-159.519,0
93.599,333.857,-2.115,8
139.454,333.513,102.663,4
97.979,350.888,124.118,2
64.848,208.632,106.493,5
113.394,497.233,14.76,6
91.603,376.533,131.926,2
76.582,347.599,146.906,2
89.85,474.712,94.027,6
132.862,290,45.868,8
34.414,342.748,85.766,3
68.482,469.982,102.675,7
118.882,499.797,-118.085,1
41.659,555.517,-138.121,1
57.92,246.123,105.16,5
39.766,308.906,-25.201,0
76.069,404.113,135.595,2
74.556,509.693,81.057,6
91.964,231.7,86.34,5
65.278,216.596,132.35,5
30.869,64.339,109.968,9
115.162,412.702,123.644,7
80.522,457.56,107.627,7
60.583,343.422,-149.629,0
100.429,347.868,120.442,2
60.706,336.756,-121.907,0
70.179,491.29,87.199,6
30.544,362.764,102.954,3
120.018,334.678,32.389,4
64.835,526.496,54.924,6
54.006,247.489,119.955,5
32.036,337.285,63.845,3
102.459,493.787,-72.108,1
70.349,283.402,115.891,5
125.539,327.135,100.446,4
111.406,500.206,-31.031,1
50.76,327.952,-143.134,0
30.546,404.58,122.363,7
53.868,457.252,108.891,7
121.094,405.7,123.103,2
54.034,438.727,121.749,7
93.243,506.545,41.565,6
20.122,362.085,41.426,3
94.026,247.885,-170.561,0
10.693,413.15,75.176,7
70.89,418.914,130.193,7
55.453,307.6,92.588,2
137.364,446.819,88.17,7
107.29,493.388,-146.271,1
-6.12,130.953,21.119,9
79.714,417.84,123.92,7
75.878,406.733,137.525,2
73.442,541.693,41.711,6
94.582,516.792,33.734,6
66.583,266.811,117.205,5
103.714,490.571,-138.501,1
84.864,417.55,130.616,7
117.317,503.187,-82.672,1
144.137,398.509,86.093,4
81.394,504.11,30.95,6
110.138,264.954,-157.459,0
25.375,299.913,2.242,3
82.921,277.973,127.705,5
88.949,310.941,5.158,8
54.534,243.834,77.442,5
107.452,232.25,138.914,5
75.092,557.025,1.095,6
70.879,412.54,130.033,7
51.581,240.042,118.297,5
125.847,459.976,88.026,7
30.152,334.069,-165.382,0
125.686,358.01,100.556,4
-6.721,65.777,83.262,9
67.5,230.89,109.953,5
88.443,519.09,36.229,6
74.735,385.963,114.716,2
28.259,376.144,112.197,3
34.525,334.987,28.995,3
111.859,318.693,41.588,8
124.056,494.976,-53.622,1
74.816,403.703,138.411,2
39.142,307.735,90.265,2
76.523,448.982,120.113,7
132.968,363.77,26.354,4
43.876,539.683,-157.249,1
90.975,218.671,82.131,5
93.17,525.993,37.496,6
100.936,275.212,-120.895,0
37.21,320.911,76.26,3
83.979,279.448,116.255,5
38.266,343.691,95.488,3
94.982,337.434,-1.12,8
29.316,547.192,-167.043,1
83.944,404.609,126.326,2
67.861,363.822,123.02,2
29.114,337.604,46.469,3
85.997,355.853,124.505,2
145.775,403.918,69.245,4
82.054,297.977,97.166,2
56.64,510.174,38.054,6
17.722,388.285,102.886,3
53.426,314.537,108.24,2
131.737,288.466,49.78,8
64.642,241.859,67.112,5
28.473,546.737,-159.666,1
77.138,335.21,136.15,2
99.81,236.888,87.396,5
46.213,314.774,24.365,3
121.347,469.514,-170.353,1
102.337,497.013,-65.428,1
44.172,343.541,112.328,2
40.136,301.007,31.189,3
130.78,306.644,98.021,4
31.268,335.853,27.54,3
44.235,433.761,122.371,7
138.55,331.653,74.263,4
153.865,86.138,62.959,10
102.765,484.471,-144.532,1
79.766,550.225,29.976,6
73.786,376.941,131.104,2
100.525,490.398,65.169,6
39.156,327.185,-156.341,0
63.38,350.765,121.112,2
36.557,552.984,-153.435,1
27.882,459.261,86.065,6
94.357,302.946,95.693,2
37.83,309.337,88.28,3
97.139,280.834,-84.692,0
74.181,555.908,-16.256,6
111.758,300.235,-17.693,8
138.208,377.409,85.299,4
67.667,182.69,74.179,5
35.852,534.428,-85.7,1
103.331,187.741,67.426,5
76.904,548.867,35.773,6
122.124,487.176,-159.118,1
39.539,327.932,25.105,3
119.068,451.855,103.728,7
80.405,388.134,119.331,2
131.693,386.6,105.604,4
31.159,353.802,16.694,3
34.395,343.877,81.852,3
53.909,322.938,-120.866,0
57.482,340.25,-133.05,0
50.16,320.072,-65.829,0
53.909,303.435,127.612,2
12.518,70.44,101.655,9
23.48,451.028,92.327,7
34.815,509.655,-72.085,1
86.457,431.578,122.014,7
37.064,484.955,69.372,6
11.041,413.354,75.149,7
128.105,510.956,26.119,6
68.727,326.737,113.931,2
10.972,467.586,46.146,6
22.466,162.776,22.676,9
87.097,234.999,87.403,5
80.958,282.972,28.808,8
50.617,476.839,93.793,6
39.025,311.988,-48.885,0
37.18,315.215,91.028,3
74.399,299.449,111.687,2
33.653,313.797,-169.932,0
68.75,298.907,100.031,2
115.093,307.727,46.427,8
90.317,350.913,122.408,2
99.5,318.448,126.976,2
80.284,446.434,102.452,7
112.197,355.336,121.887,2
62.317,273.649,112.664,5
146.33,470.4,51.481,6
70.347,507.293,75.296,6
58.031,189.696,71.899,5
128.807,480.775,79.824,7
28.078,351.794,65.84,3
13.731,393.173,50.375,3
108.083,494.186,-144.484,1
108.14,486.243,-64.625,1
135.947,439.367,96.678,7
16.227,383.222,41.431,3
108.577,329.605,124.384,2
19.325,380.102,99.074,3
82.858,449.012,117.263,7
34.121,172.185,30.965,9
76.702,374.402,136.524,2
97.514,249.495,74.855,5
94.579,448.573,117.487,7
125.009,301.94,52.657,8
82.802,456.107,103.533,7
63.539,330.168,112.663,2
79.328,421.442,111.705,7
21.929,314.602,-20.884,0
79.032,551.033,29.883,6
77.546,430.042,126.953,7
71.872,292.588,113.924,5
90.914,249.118,118.797,5
85.744,275.622,-154.1,0
34.282,310.326,-41.045,0
117.583,486.415,-141.466,1
98.248,469.309,-168.956,1
84.129,491.075,36.011,6
47.911,535.867,-169.22,1
114.947,482.273,-59.56,1
68.115,460.465,95.808,7
53.804,327.524,-161.174,0
47.158,554.053,-136.369,1
71.749,261.808,125.238,5
76.038,311.16,119.767,2
25.463,406.565,118.541,7
124.37,375.96,112.42,2
90.688,265.747,111.08,5
36.974,281.961,78.111,3
93.905,301.991,102.118,2
86.516,286.412,96.091,5
70.08,329.31,117.796,2
15.937,395.66,99.192,3
27.222,292.428,14.026,3
26.475,320.047,-29.071,0
116.571,487.836,-128.56,1
94.649,417.759,127.933,7
168.126,92.418,46.124,10
45.291,242.997,150.111,5
28.042,338.35,67.738,3
44.065,228.021,117.519,5
49.917,323.995,-124.122,0
68.571,334.987,112.93,2
34.985,334.31,-153.667,0
96.373,344.281,119.02,2
102.357,312.057,20.568,8
101.567,283.772,-71.77,0
83.959,222.47,69.554,5
69.897,339.42,119.901,2
110.743,479.309,89.571,7
86.961,275.551,-117.792,0
74.812,349.702,151.422,2
58.731,180.564,59.066,5
34.666,308.68,78.389,3
70.087,390.114,124,2
70.831,352.161,120.078,2
63.998,318.027,98.871,2
25.426,350.919,39.504,3
70.365,466.674,90.955,6
124.045,343.719,34.323,4
115.114,326.805,60.085,4
28.497,320.748,-32.571,0
124.978,346.902,18.816,4
80.027,334.276,-11.248,8
88.595,270.734,-138.006,0
49.956,326.872,-125.645,0
19.315,407.253,105.714,7
45.002,233.095,145.593,5
13.405,422.753,89.738,7
86.492,255.968,-168.043,0
117.894,289.835,56.028,8
30.552,335.479,64.728,3
83.987,298.448,97.927,2
81.009,428.069,120.707,7
114.369,487.936,-159.74,1
48.927,543.224,-151.853,1
98.525,281.722,-86.724,0
93.521,218.477,104.071,5
94.059,316.7,100.677,2
94.745,279.461,-105.753,0
162.502,109.669,29.667,10
46.805,236.984,111.873,5
104.469,491.338,-84.912,1
31.856,548.953,-130.26,1
70.146,293.53,103.691,5
124.045,502.323,-7.151,6
99.413,316.632,89.732,2
15.109,370.285,67.882,3
71.423,374.912,128.497,2
114.537,496.612,26.564,6
83.765,261.106,123.429,5
39.172,535.512,-113.877,1
140.287,331.913,98.185,4
35.078,301.751,68.597,3
38.14,320.796,79.907,3
67.268,290.633,53.291,3
79.136,344.341,108.309,2
76.233,551.89,-1.506,6
123.758,344.378,80.51,4
61.111,208.11,131.935,5
13.864,435.874,84.691,7
69.252,298.721,105.26,2
-1.999,122.168,33.516,9
99.602,316.14,98.2,2
102.569,267.074,-147.543,0
127.587,349.715,27.654,4
99.232,198.299,95.494,5
43.878,342.856,112.46,2
72.676,282.685,118.343,5
57.515,227.892,85.428,5
89.219,222.027,58.643,5
75.948,392.98,114.429,2
75.392,384.427,133.608,2
39.281,307.083,73.132,3
110.804,273.95,-146.486,0
106.491,486.458,-76.338,1
112.239,250.088,-171.794,0
124.082,357.08,105.349,4
82.709,543.134,36.915,6
79.332,355.323,154.762,2
114.075,500.233,-145.805,1
58.867,233.916,83.199,5
143.007,490.575,48.398,6
35.117,320.594,60.456,3
67.349,493.641,97.044,6
81.299,357.581,125.905,2
81.86,417.09,132.087,7
66.898,496.61,80.702,6
106.294,493.915,-98.849,1
70.602,274.833,116.352,5
44.491,325.453,78.242,3
54.93,330.502,-150.147,0
104.56,320.847,109.025,2
120.485,309.195,115.448,2
90.506,453.061,114.713,7
103.698,360.359,127.285,2
33.47,295.084,105.748,2
84.067,216.545,72.642,5
28.941,507.908,26.942,6
93.329,508.004,43.222,6
92.959,292.009,100.279,2
75.733,302.149,123.706,2
78.079,339.815,147.635,2
104.515,499.933,-71.667,1
63.861,325.684,107.71,2
68.808,230.987,169.269,5
67.416,221.131,74.844,5
88.386,330.757,112.413,2
69.465,398.369,129.604,2
126.07,358.076,101.032,4
41.095,292.635,40.143,3
57.036,475.026,103.115,6
76.276,245.101,141.961,5
72.29,226.292,161.689,5
68.781,300.213,99.793,2
70.329,416.669,121.228,7
69.287,353.607,129.844,2
80.494,364.15,150.591,2
123.296,482.145,-166.347,1
39.571,507.251,-55.626,1
84.812,389.161,133.452,2
103.981,504.96,-68.178,1
47.125,221.676,109.959,5
116.94,303.927,-55.572,8
46.572,324.555,83.426,3
15.178,334.6,89.478,3
82.089,268.832,117.638,5
119.517,498.988,32.602,6
55.847,362.359,125.827,2
84.293,214.414,67.247,5
104.423,206.433,123.02,5
124.349,494.51,-68.925,1
78.27,294.931,127.561,2
66.562,442.732,117.919,7
35.343,289.949,72.994,3
105.287,264.53,-153.956,0
133.832,368.653,81.331,4
41.482,326.141,67.943,3
70.591,407.647,117.748,7
48.788,318.781,123.39,2
114.319,237.165,108.628,5
20.036,450.542,88.942,7
30.904,512.18,-17.25,6
35.831,281.729,75.506,3
93.105,274.036,-100.266,0
37.467,342.39,94.428,3
86.172,288.219,97.284,5
107.89,262.847,-116.283,0
117.485,318.007,82.769,4
127.281,327.117,97.469,4
13.627,412.167,88.289,7
91.054,434.845,123.136,7
65.351,293.062,99.363,2
98.382,410.599,128.164,7
37.085,522.462,-66.676,1
24.945,352.608,54.235,3
132.288,362.263,88.251,4
63.734,236.982,165.698,5
111.988,373.45,127.252,2
79.028,279.952,120.989,5
57.418,328.319,-99.826,0
97.767,274.888,-145.033,0
98.832,320.791,5.894,8
74.056,379.305,115.344,2
86.531,301.912,16.23,8
40.386,384.681,128.212,7
56.109,323.834,3.606,3
84.425,309.388,4.603,8
73.107,316.467,-3.816,8
114.371,317.855,55.239,4
122.071,341.372,84.183,4
63.526,510.642,36.215,6
32.515,309.531,-50.198,0
100.22,245.498,93.965,5
76.401,389.178,144.352,2
124.546,426.453,114.794,7
79.926,268.683,125.833,5
52.33,372.174,128.77,2
76.016,243.495,162.526,5
86.601,331.247,-1.489,8
87.349,228.365,60.747,5
62.06,322.587,108.68,2
63.141,493.563,34.066,6
106.301,332.963,106.556,4
72.762,503.275,31.474,6
34.857,323.488,-165.93,0
87.844,323.76,111.606,2
91.43,246.758,115.057,5
70.626,365.864,121.793,2
22.969,480.71,42.403,6
31.832,352.765,93.394,3
71.978,287.09,115.022,5
104.056,487.28,-132.73,1
86.386,364.927,125.878,2
106.66,481.293,-158.199,1
88.441,343.941,120.433,2
54.784,353.493,122.392,2
83.579,285.354,32.32,8
83.598,279.441,108.316,5
72.361,543.241,36.174,6
66.546,367.856,131.671,2
80.352,222.947,128.642,5
63.57,224.113,137.51,5
64.15,332.68,-1.856,3
67.398,376.155,125.177,2
62.028,525.429,29.593,6
36.142,340.145,-134.897,0
21.716,364.031,66.891,3
48.498,550.513,-138.265,1
40.907,320.835,118.921,2
88.501,239.597,108.182,5
38.015,334.049,87.259,3
106.185,278.087,-132.639,0
111.521,294.724,63.97,8
95.096,491.084,50.07,6
123.835,292.095,-15.732,8
96.783,275.137,-128.352,0
69.493,347.781,120.685,2
80.658,196.457,90.267,5
73.682,280.976,98.049,5
17.17,376.135,35.299,3
72.067,336.759,-10.292,8
69.716,358.272,120.315,2
127.125,416.299,118.554,7
137.446,377.224,39.885,4
28.275,456.6,86.825,7
83.448,274.262,113.81,5
121.445,296.328,-53.902,8
-17.193,90.965,64.902,9
63.593,344.967,124.742,2
73.124,549.638,18.595,6
88.314,312.619,106.814,2
100.499,439.044,120.325,7
47.1,452.928,110.433,7
53.766,308.801,86.366,2
138.303,376.702,78.804,4
79.59,554.391,-6.116,6
101.875,245.529,110.052,5
70.13,274.494,118.856,5
41.8,539.602,-159.317,1
33.442,384.947,120.275,3
43.354,319.372,30.086,3
108.253,501.061,-147.733,1
44.826,218.178,111.11,5
116.636,473.874,-164.905,1
73.561,461.067,110.476,7
111.579,303.588,92.948,4
129.497,352.449,58.404,4
75.451,547.649,35.946,6
108.187,352.088,123.885,2
72.69,276.92,115.814,5
110.694,316.774,48.578,4
68.598,242.737,72.326,5
80.612,245.269,106.007,5
50.407,318.684,122.924,2
22.836,313.287,-21.951,0
132.109,367.569,26.325,4
83.642,546.249,27.897,6
97.064,279.957,-97.368,0
43.299,346.664,112.67,2
89.403,476.214,88.747,6
62.048,213.202,119.485,5
100.589,326.948,5.678,8
93.292,232.239,90.07,5
89.003,219.861,133.432,5
26.444,536.681,-169.759,1
74.511,555.972,13.068,6
112.312,496.201,-17.382,1
88.429,299.653,15.776,8
117.8,426.24,120.256,7
79.522,293.349,19.79,8
103.435,266.046,-126.153,0
83.655,476.709,89.425,6
98.027,182.195,39.634,5
71.875,336.026,111.892,2
90.258,182.316,53.166,5
27.836,334.577,-46.421,0
47.565,504.232,15.118,6
86.064,287.971,95.623,5
72.847,214.372,120.347,5
106.36,328.179,7.962,8
25.972,361.141,89.373,3
84.641,215.062,64.657,5
